
TIME	EVENT	SRC	DST
1.26030000000880004762	ARR-TO-DEST	1	31
1.26048000000960014333	ACK-CREAT	2	31
1.26134400000960011923	ACK-TO-TRANS	4	31
1.27212000000799996258	ACK-ARRiv 	4	25
1.27230000000880005828	DEP-FROM-SRC	1	38
1.27230000000880005828	ARR-FROM-TRNSP	3	52
1.27230000000880005828	ARR-FROM-TRNSP	3	51
1.27630000000880006183	ARR-TO-DEST	1	32
1.27648000000960015754	ACK-CREAT	2	32
1.27734400000960013344	ACK-TO-TRANS	4	32
1.28812000000799997679	ACK-ARRiv 	4	26
1.28812000000799997679	ACK-ARRiv 	4	28
1.28830000000880007249	DEP-FROM-SRC	1	39
1.28830000000880007249	ARR-FROM-TRNSP	3	56
1.28830000000880007249	ARR-FROM-TRNSP	3	55
1.28830000000880007249	ARR-FROM-TRNSP	3	54
1.28830000000880007249	ARR-FROM-TRNSP	3	53
1.29230000000880029809	ARR-TO-DEST	1	33
1.29248000000960039380	ACK-CREAT	2	33
1.29334400000960036969	ACK-TO-TRANS	4	33
1.30412000000799999100	ACK-ARRiv 	4	27
1.30430000000880008670	DEP-FROM-SRC	1	40
1.30430000000880008670	ARR-FROM-TRNSP	3	58
1.30430000000880008670	ARR-FROM-TRNSP	3	57
1.30830000000880031230	ARR-TO-DEST	1	34
1.30848000000960040801	ACK-CREAT	2	34
1.30934400000960038390	ACK-TO-TRANS	4	34
1.32012000000800000521	ACK-ARRiv 	4	30
1.32030000000879987887	DEP-FROM-SRC	1	42
1.32030000000880010091	ARR-FROM-TRNSP	3	59
1.32030000000880010091	ARR-FROM-TRNSP	3	60
1.32430000000880032651	ARR-TO-DEST	1	35
1.32448000000960042222	ACK-CREAT	2	35
1.32534400000960039812	ACK-TO-TRANS	4	35
1.33612000000800001942	ACK-ARRiv 	4	29
1.33630000000879989308	DEP-FROM-SRC	1	41
1.33630000000880011513	ARR-FROM-TRNSP	3	61
1.33630000000880011513	ARR-FROM-TRNSP	3	62
1.34030000000880034072	ARR-TO-DEST	1	36
1.34048000000960043643	ACK-CREAT	2	36
1.34134400000960041233	ACK-TO-TRANS	4	36
1.35630000000880035493	ARR-TO-DEST	1	37
1.35648000000960045064	ACK-CREAT	2	37
1.35734400000960042654	ACK-TO-TRANS	4	37
RTT
1.36134400000960020805	ACK-ARRiv 	4	31
1.36152400001040030375	ARR-FROM-TRNSP	3	63
1.36152400001040030375	ARR-FROM-TRNSP	3	64
1.36830000000879992150	DEP-FROM-SRC	1	43
1.37230000000880014710	ARR-TO-DEST	1	38
